# median-combination of 92 normalized COS/G130M+G160M AGN spectra
# C. Danforth Fri Jan 25 12:25:39 2013
# wavelength   normalized flux
1178.4689     0.983646
1178.5387     0.998121
1178.6085     0.993160
1178.6783      1.00222
1178.7481     0.995614
1178.8179      1.00436
1178.8877     0.995761
1178.9575     0.988191
1179.0273     0.979779
1179.0971     0.973431
1179.1669     0.985641
1179.2367      1.00243
1179.3065     0.999491
1179.3763     0.990900
1179.4461     0.991089
1179.5159     0.990441
1179.5857     0.985346
1179.6555     0.980669
1179.7253     0.992519
1179.7951     0.989723
1179.8649     0.986970
1179.9347     0.988473
1180.0045     0.989611
1180.0743     0.984851
1180.1441     0.990144
1180.2139     0.997238
1180.2837     0.988286
1180.3535     0.987706
1180.4233     0.996909
1180.4931     0.989286
1180.5629     0.992709
1180.6326     0.977097
1180.7024     0.983821
1180.7722     0.980290
1180.8420     0.974548
1180.9118     0.982827
1180.9816     0.979436
1181.0514     0.982932
1181.1212     0.982762
1181.1910     0.975126
1181.2608     0.982934
1181.3306     0.971495
1181.4004     0.973490
1181.4702     0.984167
1181.5400     0.988593
1181.6098     0.985622
1181.6796     0.984389
1181.7494     0.987132
1181.8192     0.987131
1181.8890     0.997195
1181.9588     0.973415
1182.0286     0.988668
1182.0984     0.976269
1182.1682     0.980867
1182.2380     0.986681
1182.3078     0.989288
1182.3776     0.992606
1182.4474     0.992246
1182.5172     0.988955
1182.5870     0.986347
1182.6568     0.983233
1182.7266     0.976704
1182.7964     0.983101
1182.8661     0.992695
1182.9359     0.995774
1183.0057     0.990938
1183.0755     0.988914
1183.1453     0.989102
1183.2151      1.00808
1183.2849      1.01082
1183.3547     0.996768
1183.4245      1.00318
1183.4943      1.00460
1183.5641     0.997623
1183.6339     0.983701
1183.7037     0.976274
1183.7735     0.975611
1183.8433     0.977369
1183.9131     0.982522
1183.9829     0.985516
1184.0527     0.991981
1184.1225     0.987248
1184.1923     0.985203
1184.2621     0.975357
1184.3319     0.984958
1184.4017     0.987341
1184.4715     0.972750
1184.5413     0.981999
1184.6111     0.971833
1184.6809     0.974614
1184.7507     0.973678
1184.8205     0.987537
1184.8903     0.980873
1184.9601     0.980115
1185.0299     0.982216
1185.0996     0.985507
1185.1694     0.995816
1185.2392     0.998559
1185.3090     0.988940
1185.3788     0.990474
1185.4486     0.978694
1185.5184     0.986224
1185.5882     0.978220
1185.6580     0.982185
1185.7278     0.983656
1185.7976     0.994982
1185.8674     0.994180
1185.9372      1.00125
1186.0070      1.00277
1186.0768      1.00253
1186.1466     0.990628
1186.2164     0.983768
1186.2862     0.990766
1186.3560     0.998796
1186.4258      1.00496
1186.4956     0.991606
1186.5654     0.993175
1186.6352     0.995879
1186.7050     0.984052
1186.7748     0.988647
1186.8446     0.984927
1186.9144     0.975847
1186.9842     0.992544
1187.0540      1.00019
1187.1238     0.990317
1187.1936     0.988945
1187.2634     0.986383
1187.3331     0.987926
1187.4029     0.989930
1187.4727     0.983845
1187.5425     0.991471
1187.6123     0.998335
1187.6821     0.997030
1187.7519      1.00210
1187.8217      1.00639
1187.8915      1.01320
1187.9613      1.00543
1188.0311     0.993222
1188.1009     0.999877
1188.1707     0.995517
1188.2405      1.00474
1188.3103      1.00283
1188.3801      1.00518
1188.4499     0.994032
1188.5197     0.992830
1188.5895     0.987030
1188.6593     0.984676
1188.7291     0.968906
1188.7989     0.967654
1188.8687     0.978214
1188.9385     0.993459
1189.0083     0.995527
1189.0781     0.992850
1189.1479     0.997522
1189.2177     0.992793
1189.2875     0.991334
1189.3573     0.997771
1189.4271     0.992754
1189.4969     0.988096
1189.5666     0.979236
1189.6364     0.972219
1189.7062     0.965496
1189.7760     0.952132
1189.8458     0.928675
1189.9156     0.878590
1189.9854     0.766536
1190.0552     0.623336
1190.1250     0.453264
1190.1948     0.245573
1190.2646     0.112001
1190.3344    0.0965694
1190.4042     0.115580
1190.4740     0.197041
1190.5438     0.424611
1190.6136     0.682414
1190.6834     0.836826
1190.7532     0.913659
1190.8230     0.952928
1190.8928     0.959855
1190.9626     0.964140
1191.0324     0.970982
1191.1022     0.976434
1191.1720     0.979025
1191.2418     0.985701
1191.3116     0.978833
1191.3814     0.979412
1191.4512     0.973347
1191.5210     0.976701
1191.5908     0.970046
1191.6606     0.974085
1191.7304     0.972954
1191.8001     0.987146
1191.8699     0.990897
1191.9397     0.981141
1192.0095     0.989479
1192.0793     0.974398
1192.1491     0.977471
1192.2189     0.991086
1192.2887     0.987837
1192.3585     0.977855
1192.4283     0.982070
1192.4981     0.976998
1192.5679     0.984905
1192.6377     0.962821
1192.7075     0.956583
1192.7773     0.927262
1192.8471     0.867249
1192.9169     0.730496
1192.9867     0.511694
1193.0565     0.254554
1193.1263     0.105876
1193.1961    0.0768986
1193.2659    0.0912295
1193.3357     0.130383
1193.4055     0.282663
1193.4753     0.554062
1193.5451     0.759969
1193.6149     0.860358
1193.6847     0.915970
1193.7545     0.932004
1193.8243     0.952138
1193.8941     0.945795
1193.9639     0.948559
1194.0336     0.963741
1194.1034     0.973952
1194.1732     0.968826
1194.2430     0.967965
1194.3128     0.970982
1194.3826     0.977371
1194.4524     0.970571
1194.5222     0.978099
1194.5920     0.985615
1194.6618     0.988962
1194.7316     0.982957
1194.8014     0.989506
1194.8712     0.995968
1194.9410     0.990913
1195.0108     0.991448
1195.0806     0.993082
1195.1504     0.992487
1195.2202     0.989962
1195.2900      1.00066
1195.3598      1.00400
1195.4296      1.00770
1195.4994     0.999955
1195.5692      1.00463
1195.6390     0.993678
1195.7088     0.996082
1195.7786     0.995489
1195.8484      1.00401
1195.9182      1.00137
1195.9880      1.00851
1196.0578     0.995523
1196.1276     0.991481
1196.1974     0.999708
1196.2671     0.991584
1196.3369      1.00451
1196.4067     0.980626
1196.4765     0.988635
1196.5463     0.992483
1196.6161     0.986646
1196.6859     0.989727
1196.7557     0.987130
1196.8255     0.988842
1196.8953     0.974516
1196.9651     0.965237
1197.0349     0.951041
1197.1047     0.931340
1197.1745     0.924498
1197.2443     0.940554
1197.3141     0.965835
1197.3839     0.990619
1197.4537     0.994528
1197.5235     0.988125
1197.5933     0.998069
1197.6631     0.991577
1197.7329     0.998112
1197.8027      1.00164
1197.8725      1.00683
1197.9423      1.01593
1198.0121      1.00800
1198.0819      1.01287
1198.1517      1.00477
1198.2215     0.991331
1198.2913     0.985244
1198.3611     0.993010
1198.4309     0.996641
1198.5006      1.00561
1198.5704     0.999773
1198.6402     0.994890
1198.7100     0.996556
1198.7798     0.993004
1198.8496     0.994150
1198.9194     0.990755
1198.9892     0.989440
1199.0590     0.991680
1199.1288     0.976224
1199.1986     0.933095
1199.2684     0.855851
1199.3382     0.605799
1199.4080     0.379324
1199.4778     0.265380
1199.5476     0.264161
1199.6174     0.462468
1199.6872     0.727270
1199.7570     0.861616
1199.8268     0.925027
1199.8966     0.898447
1199.9664     0.803595
1200.0362     0.548645
1200.1060     0.324426
1200.1758     0.260063
1200.2456     0.325920
1200.3154     0.519564
1200.3852     0.665520
1200.4550     0.685909
1200.5248     0.536109
1200.5946     0.328468
1200.6644     0.274718
1200.7341     0.347796
1200.8039     0.644909
1200.8737     0.852330
1200.9435     0.907782
1201.0133     0.940919
1201.0831     0.941569
1201.1529     0.947746
1201.2227     0.984565
1201.2925     0.993575
1201.3623     0.994455
1201.4321     0.994126
1201.5019     0.992996
1201.5717     0.995438
1201.6415     0.999526
1201.7113     0.997050
1201.7811     0.990935
1201.8509     0.987250
1201.9207     0.991729
1201.9905      1.00059
1202.0603     0.999852
1202.1301     0.994454
1202.1999      1.00462
1202.2697      1.00577
1202.3395     0.999212
1202.4093     0.990820
1202.4791     0.987480
1202.5489     0.989425
1202.6187     0.994225
1202.6885     0.994990
1202.7583     0.989400
1202.8281     0.990188
1202.8979     0.988085
1202.9676     0.989075
1203.0374     0.990263
1203.1072      1.00694
1203.1770     0.994565
1203.2468     0.995400
1203.3166     0.985671
1203.3864     0.988411
1203.4562     0.997161
1203.5260     0.986435
1203.5958     0.982641
1203.6656     0.990738
1203.7354      1.00219
1203.8052     0.993714
1203.8750     0.991961
1203.9448     0.994114
1204.0146      1.00082
1204.0844     0.992954
1204.1542     0.988362
1204.2240     0.992895
1204.2938     0.994952
1204.3636     0.993038
1204.4334      1.00048
1204.5032     0.999856
1204.5730     0.997079
1204.6428      1.00398
1204.7126     0.994338
1204.7824     0.998722
1204.8522     0.994227
1204.9220     0.993972
1204.9918     0.996501
1205.0616     0.997539
1205.1314     0.993917
1205.2011     0.996258
1205.2709      1.00184
1205.3407      1.00086
1205.4105     0.982428
1205.4803     0.976350
1205.5501     0.975865
1205.6199     0.962967
1205.6897     0.940911
1205.7595     0.945736
1205.8293     0.937155
1205.8991     0.905349
1205.9689     0.840714
1206.0387     0.747557
1206.1085     0.579255
1206.1783     0.308824
1206.2481     0.173721
1206.3179    0.0854307
1206.3877    0.0624359
1206.4575    0.0544090
1206.5273    0.0593328
1206.5971    0.0911791
1206.6669     0.186401
1206.7367     0.438176
1206.8065     0.659901
1206.8763     0.818040
1206.9461     0.885108
1207.0159     0.911055
1207.0857     0.948035
1207.1555     0.954658
1207.2253     0.972277
1207.2951     0.973406
1207.3649     0.982233
1207.4346     0.975215
1207.5044     0.984162
1207.5742     0.988714
1207.6440     0.992969
1207.7138     0.983163
1207.7836     0.983621
1207.8534     0.969985
1207.9232     0.979867
1207.9930     0.990186
1208.0628     0.990422
1208.1326     0.999632
1208.2024      1.00280
1208.2722     0.996419
1208.3420      1.00773
1208.4118     0.992395
1208.4816     0.996253
1208.5514     0.995158
1208.6212     0.994790
1208.6910     0.992151
1208.7608     0.992791
1208.8306     0.987825
1208.9004     0.997389
1208.9702     0.982873
1209.0400     0.979619
1209.1098     0.982177
1209.1796     0.988774
1209.2494     0.985605
1209.3192     0.989932
1209.3890     0.987111
1209.4588     0.989158
1209.5286     0.999854
1209.5984     0.991229
1209.6681     0.994592
1209.7379     0.997158
1209.8077     0.997084
1209.8775     0.991875
1209.9473      1.00216
1210.0171     0.995972
1210.0869     0.998921
1210.1567     0.999174
1210.2265      1.00132
1210.2963     0.996552
1210.3661     0.994969
1210.4359     0.982632
1210.5057     0.993329
1210.5755     0.983959
1210.6453     0.983703
1210.7151     0.988399
1210.7849     0.983557
1210.8547     0.984218
1210.9245     0.997801
1210.9943     0.991679
1211.0641     0.989903
1211.1339     0.995062
1211.2037     0.975564
1211.2735     0.986093
1211.3433     0.999373
1211.4131      1.00029
1211.4829     0.986838
1211.5527     0.999789
1211.6225      1.00212
1211.6923     0.989016
1211.7621      1.01798
1211.8319      1.00665
1211.9016     0.998114
1211.9714      1.00857
1212.0412      1.00492
1212.1110      1.00747
1212.1808      1.00718
1212.2506      1.00411
1212.3204      1.00794
1212.3902     0.991003
1212.4600     0.991151
1212.5298     0.991267
1212.5996     0.981459
1212.6694     0.996980
1212.7392     0.965003
1212.8090     0.951922
1212.8788     0.956973
1212.9486     0.946213
1213.0184     0.957026
1213.0882     0.929713
1213.1580     0.930796
1213.2278     0.918277
1213.2976     0.904314
1213.3674     0.902667
1213.4372     0.903799
1213.5070     0.922422
1213.5768     0.907367
1213.6466     0.902372
1213.7164     0.892673
1213.7862     0.908025
1213.8560     0.909142
1213.9258     0.887954
1213.9956     0.876064
1214.0654     0.846098
1214.1351     0.848182
1214.2049     0.776817
1214.2747     0.645422
1214.3445     0.632894
1214.4143     0.457709
1214.4841     0.170343
1214.5539    -0.732457
1214.6237     -1.24160
1214.6935     -2.45787
1214.7633     -6.57574
1214.8331     -18.4400
1214.9029     -61.6359
1214.9727     -208.453
1215.0425     -434.870
1215.1123     -643.895
1215.1821     -1151.10
1215.2519     -1222.00
1215.3217     -1150.11
1215.3915     -1372.80
1215.4613     -1495.83
1215.5311     -1460.87
1215.6009     -1632.24
1215.6707     -1588.28
1215.7405     -1408.85
1215.8103     -1551.03
1215.8801     -1698.23
1215.9499     -1522.20
1216.0197     -992.915
1216.0895     -733.174
1216.1593     -551.043
1216.2291     -409.186
1216.2989     -238.517
1216.3686     -167.094
1216.4384     -67.6128
1216.5082     -15.9912
1216.5780     -5.06349
1216.6478     -1.96218
1216.7176     -1.28884
1216.7874    -0.738361
1216.8572   -0.0261093
